session_duration,bytes_sent,bytes_received,failed_logins,country_risk_score,is_vpn,is_malicious
499,18235,68806,0,9,1,0
593,90987,58873,2,41,0,0
392,96135,33223,4,48,1,1
675,47477,94446,4,12,0,1
419,23654,9818,9,10,0,1
289,62591,62737,1,6,1,0
379,55721,128,9,34,1,1
773,58383,62470,7,52,1,0
490,85240,47699,4,41,0,1
231,17023,17497,6,83,0,1
41,47691,45506,6,6,0,0
28,62361,47757,4,2,1,0
135,54436,67660,7,15,0,1
201,74183,13603,8,17,1,0
840,61048,55043,3,16,0,0
780,33102,75939,3,28,0,1
930,80198,82774,7,85,0,0
33,73116,25445,0,72,1,0
48,26772,50490,3,10,1,1
503,4313,95141,5,10,1,1
407,10393,59657,3,10,0,0
574,55960,65154,5,73,0,0
728,62607,2006,4,28,0,0
805,57234,40267,8,24,0,1
99,2200,8061,9,19,1,1
684,62097,26240,8,97,0,0
872,28272,58801,3,68,0,0
726,20232,77667,3,56,1,0
987,18299,80764,7,67,1,1
547,36709,81299,9,42,1,1
961,43065,99864,3,12,0,0
739,8116,81318,1,18,1,0
613,39879,80829,1,23,0,0
943,31981,28661,0,84,1,0
462,82694,50668,4,6,0,1
643,24572,73402,5,53,0,0
769,51913,95480,8,98,0,0
5,36121,95068,4,42,0,1
218,54231,29604,5,66,0,0
503,24187,37246,5,30,0,0
767,12928,40397,2,9,1,0
398,61710,86494,3,91,0,0
871,96764,68707,0,42,0,0
795,1501,17039,3,34,0,0
393,85279,90567,0,40,0,1
207,15293,50815,4,88,1,0
15,92489,44560,7,17,0,1
858,44964,66676,7,29,0,1
554,20407,68322,4,50,1,1
892,19711,12766,9,76,0,1
461,43891,62219,1,95,1,0
691,12050,35421,5,49,0,0
575,76340,1879,0,73,0,0
864,77503,13286,6,61,1,0
743,2845,16559,3,83,1,1
241,55343,86346,4,46,1,1
564,3966,87855,5,46,0,1
96,32345,5157,0,17,1,0
900,44824,60763,8,66,1,1
734,71454,18833,9,5,0,0
485,51474,19257,3,54,0,1
407,30216,35130,7,16,0,0
231,81129,19713,4,81,1,1
749,93674,83128,7,91,0,1
655,20547,86382,0,7,1,0
171,30531,5288,7,8,1,1
541,18008,29780,3,72,1,1
36,29436,60219,1,87,1,0
525,41092,74500,5,96,0,1
160,55450,55818,1,82,0,1
839,69661,36545,4,38,1,1
699,52055,5896,1,54,1,1
243,61340,47318,2,76,0,0
86,20193,39231,5,15,0,0
796,6255,8223,0,92,1,1
578,46707,8322,5,50,1,0
682,33587,24174,2,56,1,1
557,55768,29925,6,95,1,0
574,21063,36939,1,9,1,1
953,50224,68422,5,8,0,1
646,52970,56421,7,19,1,0
796,56647,99274,0,51,0,1
28,64210,26088,8,72,1,1
620,53654,35607,4,98,0,1
556,21036,99344,4,57,1,1
340,4526,98744,4,68,0,0
798,88939,95351,5,31,0,0
958,27706,23906,1,3,1,0
331,47932,37001,5,99,1,0
640,28251,17143,3,83,0,1
506,79403,75861,7,43,0,1
348,11408,9852,8,29,0,1
473,62622,69093,8,10,1,1
231,45771,42716,7,12,0,0
190,90406,52227,2,46,1,0
225,94208,74877,9,30,1,0
385,2304,553,3,94,1,1
377,92869,75532,0,82,1,1
283,87365,87462,8,88,1,1
958,31231,11076,4,32,1,1
633,52528,99222,5,73,0,0
628,33970,70504,2,47,0,0
973,49167,82032,9,88,1,0
745,58685,97270,7,63,0,1
259,21707,77807,6,26,0,0
359,25068,89747,0,3,1,1
710,99034,33788,9,23,0,0
456,12008,86940,4,75,1,0
411,26523,93889,9,74,1,1
649,74807,96616,8,50,1,1
318,78357,2117,5,36,1,1
677,61315,8057,7,13,0,0
225,55935,4892,9,29,0,0
819,49529,56082,0,38,1,0
234,82252,13337,9,77,0,0
684,38558,51686,6,90,1,1
664,46269,81887,2,84,1,0
975,7759,19352,8,5,0,1
827,60714,10807,5,20,0,0
374,77340,34306,4,78,1,1
672,32893,94376,7,14,0,1
608,46573,3643,7,8,1,0
472,96862,44235,2,48,1,0
233,89488,35131,1,13,0,1
692,97718,43029,1,24,1,0
113,88430,65847,4,79,0,1
830,55851,57951,9,65,1,0
497,79015,55411,6,86,1,0
442,54354,65967,7,34,1,0
564,7106,88880,9,51,1,0
268,74318,57296,7,3,1,0
510,65444,73805,7,90,0,1
807,33940,57994,9,78,1,0
386,32530,87740,2,58,0,1
387,23191,14691,1,72,0,1
113,33083,97347,3,55,0,1
613,24089,48993,0,80,1,0
625,75551,827,2,42,0,1
952,19090,21459,8,21,0,1
81,90370,43922,6,10,0,1
699,80460,88634,6,57,1,1
113,36181,11029,0,25,1,1
2,11133,60191,6,56,1,1
642,16341,80478,9,38,1,0
220,6039,23619,6,86,0,1
566,47662,17493,3,61,1,1
855,35163,34418,6,47,0,0
997,76821,74631,7,54,1,1
736,27145,94292,2,46,0,0
225,44869,48034,9,68,1,0
385,47218,81203,1,4,1,1
403,84803,28940,6,94,1,1
638,21725,89467,4,66,1,0
130,27176,13365,4,93,0,0
53,64905,5524,4,43,1,0
684,44705,20725,6,62,1,0
730,84665,79722,8,85,1,1
672,88609,29287,7,85,0,0
710,39221,36029,5,85,1,0
416,65201,61992,6,4,1,0
247,31533,20639,8,65,0,1
836,43409,56730,5,62,0,0
439,67568,90739,0,90,0,0
203,44354,93510,3,2,1,1
184,67393,9315,7,9,0,1
123,96358,39485,6,57,1,0
401,37953,87680,2,45,0,0
767,38505,77562,9,18,1,0
294,66752,97137,2,48,0,1
280,43627,95410,2,42,0,1
837,77327,25108,0,41,0,0
884,592,49028,9,75,1,0
610,93518,83196,0,89,0,0
198,8911,89976,5,90,1,1
982,93444,25076,0,58,0,0
907,24372,27726,4,42,0,0
511,94035,98356,3,35,0,1
752,72110,59889,4,38,1,0
144,92592,4800,6,67,1,1
609,47253,63745,5,41,1,1
201,54210,73496,8,99,0,0
124,14079,7626,5,50,1,1
187,28428,39600,8,86,1,1
326,12967,68149,3,72,0,0
464,59334,73466,0,79,0,1
349,25951,80417,0,45,1,1
771,31379,59217,9,71,1,0
660,96163,56196,6,19,0,0
764,73502,8010,2,17,1,0
955,15549,81483,1,65,0,0
932,76321,71285,5,93,0,0
403,89180,50348,5,77,1,1
346,5551,74756,6,56,1,1
963,87278,2051,4,93,0,1
511,41416,65312,7,41,1,1
147,63164,75801,6,42,0,1
148,63861,79988,1,6,1,0
864,38970,75382,0,69,0,0
711,96666,94633,8,98,1,0
820,30973,42054,4,75,1,0
489,58727,89819,4,73,0,1
929,66255,8904,9,40,1,0
936,99286,92805,3,41,0,0
640,25472,695,1,9,1,1
551,3742,29692,4,8,1,1
338,28101,40743,1,44,1,0
872,34164,62765,6,58,1,1
641,94926,20923,8,67,0,1
779,14222,6072,8,13,0,0
988,24920,15982,5,19,1,1
953,68531,66494,0,98,0,0
473,55845,71155,5,96,0,1
946,50181,23869,4,49,1,1
151,71002,25120,3,80,0,1
415,8811,42848,5,82,0,1
990,85232,85474,5,78,1,0
298,18893,45012,5,30,1,1
611,8299,12979,1,66,1,0
263,76353,33898,6,77,1,0
764,36291,89926,3,91,0,1
144,10311,46173,8,59,1,1
346,63169,75891,9,53,0,0
624,88996,67083,1,52,0,1
572,56846,43105,4,81,1,1
881,21642,94831,3,31,0,0
2,31412,2950,8,15,0,1
897,45342,28500,3,20,0,0
304,93883,12053,7,5,1,1
254,87993,23635,7,7,0,1
652,55488,75636,5,18,1,1
453,27791,75139,5,56,1,1
37,78060,81129,7,75,0,1
160,84488,4155,9,96,0,1
9,22701,38270,8,91,1,0
233,18120,98044,4,90,1,0
99,8255,28351,0,45,1,1
659,69219,4632,0,28,1,1
816,81151,5024,1,50,1,0
208,36877,48137,9,2,0,0
131,19810,78182,9,84,1,0
404,24632,92215,4,68,0,1
152,18701,71721,3,77,1,1
54,63327,78026,0,24,0,1
120,5067,78916,3,48,1,0
673,84389,89754,3,45,0,0
920,20122,70500,9,93,0,1
628,43563,99625,3,58,1,0
587,74771,92485,0,36,0,1
625,5822,93202,8,2,1,1
968,27513,10802,2,18,1,0
420,92872,15485,3,49,0,1
422,81150,9436,4,8,0,0
104,85967,65521,6,58,1,0
852,83696,31325,5,15,1,1
254,66832,36121,4,17,1,1
227,12397,3882,7,23,0,0
112,68423,88977,0,66,0,1
510,23916,89730,6,70,1,0
473,40795,49211,5,93,0,1
99,19802,89502,4,27,0,0
153,25342,84685,6,37,0,0
861,55941,42819,2,49,1,1
914,67812,96628,0,64,1,1
896,85763,49137,8,34,0,0
878,92864,80203,1,18,0,0
338,53674,3613,9,64,1,0
706,85844,13435,2,74,0,0
822,28582,44240,7,44,1,1
163,9271,80473,9,17,1,1
720,99032,77758,8,59,1,1
957,3796,34940,2,13,1,0
681,20158,31107,5,52,1,1
996,20413,57047,6,60,1,0
161,19249,93320,0,42,1,0
580,53621,26493,6,91,0,1
801,45840,57580,3,64,1,1
398,5056,88390,4,66,0,0
277,75831,86435,7,34,0,0
816,82712,9207,3,95,0,1
916,66741,6093,3,87,1,0
504,63911,96441,7,71,0,1
896,52260,93750,4,64,1,1
392,51413,52166,5,33,1,0
135,63332,43042,4,12,0,0
195,15517,16238,0,76,0,0
401,24829,44627,6,19,0,0
640,30199,9290,5,9,0,0
33,98234,92359,1,74,1,1
688,30061,78522,6,17,0,1
460,12702,55798,5,50,0,1
955,9356,82415,4,39,0,1
883,86220,93810,7,41,0,0
470,34781,29186,4,10,0,1
375,91428,17422,1,12,1,0
22,87540,83669,5,79,1,0
750,64889,85710,0,95,1,0
670,43461,3535,4,15,0,0
38,64603,53431,5,28,0,0
230,34640,29042,6,4,1,1
365,26636,59735,1,36,1,0
563,84800,29159,0,65,1,0
438,63143,57657,5,98,1,1
776,78632,52489,2,47,0,1
283,56675,53114,4,81,0,1
27,2971,32926,1,39,0,0
226,46102,30397,0,38,1,0
277,49912,43990,0,44,1,0
798,22726,21422,3,51,1,0
609,60079,35839,9,97,0,1
284,76157,9819,1,85,0,1
879,66768,79653,0,26,1,1
960,99103,8414,5,36,0,1
481,80170,93931,3,69,1,1
453,89490,75264,9,97,1,1
829,43098,77128,6,1,1,0
816,63914,36213,5,53,0,0
659,45707,15457,4,6,1,1
516,7912,98965,9,37,1,1
547,61944,20465,1,2,0,1
192,70193,39129,4,69,1,1
49,2279,1837,8,90,1,0
512,43898,74732,8,41,0,0
17,74701,85574,1,51,1,0
172,8375,78318,6,47,1,1
220,50674,27599,9,13,1,1
158,47957,46257,3,76,0,1
477,20800,56347,2,69,1,0
46,39564,41134,0,66,1,0
373,42451,394,2,59,1,0
518,93430,98172,8,68,0,1
99,94419,24696,8,59,0,0
892,82634,98285,6,91,0,0
745,13969,11534,2,10,1,1
37,60415,58482,2,13,0,0
280,93788,38198,3,2,1,1
349,21054,4755,6,90,0,1
497,31655,83129,6,15,0,1
302,63453,46328,1,46,0,0
181,82290,3871,4,57,0,0
607,45126,74199,6,10,1,1
99,47076,56899,6,22,0,0
700,80678,62357,5,89,1,1
993,91602,17658,9,79,1,0
116,45195,99568,9,77,1,1
191,14370,58536,7,8,0,1
253,31008,92203,2,21,0,0
981,15623,32476,0,85,1,1
928,62533,87558,2,22,0,1
983,47168,78024,1,97,1,1
161,20091,29432,1,45,0,1
256,10875,46837,1,91,0,1
323,77901,89131,4,40,1,0
128,85095,74070,0,22,0,0
18,61350,52052,9,30,1,1
793,16773,21091,3,62,1,0
735,27156,27572,9,73,0,1
566,6714,60046,4,45,0,1
570,7515,26949,1,35,0,1
323,88791,1641,4,82,1,1
872,43984,2865,9,42,0,1
686,17064,43174,3,5,0,0
792,37826,29383,7,27,0,0
626,37144,869,0,70,0,0
288,57249,17906,4,62,1,0
943,37644,90618,9,32,0,0
854,50076,3072,0,8,1,0
663,32352,18356,9,85,0,1
962,3932,18753,9,18,0,0
639,90911,86769,3,78,0,1
155,80537,39439,7,15,1,1
490,34248,25857,0,26,1,0
386,61340,42499,1,53,0,0
986,88554,44113,0,44,1,1
785,85176,97705,6,32,1,1
104,77216,14806,1,28,0,1
929,53559,38331,0,39,0,1
393,38502,28009,5,32,0,1
811,57827,76731,5,77,0,0
246,38678,57672,9,79,0,0
176,90553,85979,1,18,0,1
39,22418,63867,0,70,1,1
477,75815,26569,9,11,0,1
682,77887,1413,2,32,0,1
759,85129,7947,9,20,0,1
538,20566,50322,4,97,0,1
867,95842,74802,5,40,1,1
818,45575,10030,2,8,1,1
921,60242,3385,8,35,1,0
408,85260,35963,4,69,0,1
525,26664,16804,1,99,0,1
828,22512,18805,9,78,1,0
506,93626,655,5,21,1,1
903,51101,21423,7,24,0,1
825,57749,71068,5,17,0,1
36,61057,67022,3,18,0,1
685,35617,54015,5,98,0,0
20,13256,10719,7,12,0,1
321,23164,72490,7,16,1,1
776,25811,59374,9,4,0,1
512,30206,73273,1,89,1,0
400,65558,21325,7,34,0,1
654,16689,26839,5,92,1,1
972,89372,47808,1,46,1,0
883,86611,53119,0,75,1,0
471,7314,76254,5,77,0,0
143,96217,7473,6,31,0,0
92,85831,35381,9,25,0,1
354,27227,20287,4,74,1,0
834,5241,67963,9,24,1,0
800,28984,98027,7,65,0,0
727,90521,84185,8,25,1,1
959,2808,39320,3,28,1,0
854,18475,7742,6,36,1,1
51,15188,80071,7,82,1,1
665,57715,55656,5,6,0,0
698,45146,33860,1,66,1,1
575,10114,38292,6,67,0,0
190,64525,4481,8,72,1,0
125,3373,96683,4,95,1,1
150,47235,19658,1,48,0,1
314,30981,30882,3,83,1,1
570,97122,4882,2,70,0,1
342,78177,91517,3,78,0,0
305,8812,54812,9,67,0,1
692,74804,95045,6,48,0,1
682,52974,19562,9,65,0,1
838,69187,60130,7,44,0,1
783,12397,68619,0,94,0,0
54,27228,56511,7,63,1,0
444,68468,55306,4,46,0,1
613,94119,97569,6,19,1,1
993,87699,47050,0,64,1,0
264,88599,2623,1,83,1,0
53,79058,61026,0,73,0,0
572,33020,9777,4,71,0,0
620,11256,75928,5,50,1,1
5,11208,15189,9,63,0,1
103,31945,4681,8,41,1,0
196,2900,12007,7,7,1,0
774,42812,5709,6,9,1,1
877,2710,51253,4,4,0,1
992,77703,50639,2,89,1,0
884,33972,44243,8,49,0,1
350,10828,23036,4,76,1,0
47,95202,50282,2,6,0,1
867,95419,99624,2,82,1,1
823,20683,95142,2,21,0,0
936,85874,13263,5,15,1,1
820,7363,59858,0,67,0,0
656,67550,46157,3,66,0,1
269,89385,12637,7,56,0,0
370,19556,22519,2,68,1,0
636,91218,42678,4,32,1,0
106,66042,75091,1,66,1,1
670,13789,74699,1,29,0,0
659,33034,934,6,66,0,0
657,33376,32314,9,34,1,1
120,19973,93034,2,27,1,1
831,13150,2513,4,60,0,0
787,66316,9605,2,39,1,0
604,84544,2205,5,44,0,1
58,84140,68204,9,82,0,1
951,21744,58508,2,36,0,1
346,62121,37779,7,19,1,0
741,37225,99196,1,91,0,1
474,66999,79831,2,45,1,0
117,42391,65231,7,84,0,0
830,35160,64380,7,21,1,0
791,1638,15862,0,23,1,1
127,36276,58803,7,94,0,1
393,41620,81534,9,89,0,1
908,25775,63179,1,95,0,0
641,18387,21677,6,27,0,0
58,274,1314,5,98,1,1
634,92368,86439,1,72,1,1
513,35098,48214,4,19,1,0
751,53412,89334,6,41,1,0
802,12212,63330,7,26,1,0
96,75325,33080,2,28,0,0
638,44914,67294,0,64,0,1
118,85191,77906,6,68,1,0
560,50819,37892,4,95,0,0
601,34019,45907,4,80,0,1
488,73255,22401,6,51,0,1
237,71669,5241,0,74,0,1
885,41428,13877,7,48,0,1
897,70582,38446,9,10,0,0
272,24718,54803,4,73,1,0
189,34775,95077,7,39,0,0
999,19019,47919,9,19,0,0
704,4273,28569,9,64,1,0
447,26500,3945,4,19,1,1
581,50545,23390,6,76,1,1
790,70405,30799,9,62,0,0
861,37664,44352,2,13,1,1
247,45914,98782,1,25,0,0
963,79847,3393,5,89,1,0
76,88891,57189,4,92,0,0
154,28062,16708,8,42,0,0
656,84992,66373,9,39,1,0
435,85942,16719,3,30,0,1
997,70633,78106,2,5,0,1
86,56284,88008,8,81,0,0
697,83012,81753,7,18,0,0
285,10678,14879,5,21,1,1
974,18724,51140,0,86,1,0
220,39294,94930,9,50,1,0
69,489,56425,0,6,0,0
47,99403,21730,5,50,1,1
94,67491,12278,2,80,1,0
750,13894,20035,2,66,0,0
958,58102,47358,5,1,1,1
453,35631,22884,2,57,1,0
204,52915,63822,9,30,1,0
912,5086,23127,5,58,0,1
218,32398,96644,4,52,1,1
474,1581,57953,3,37,1,0
432,56508,67459,7,48,1,1
341,69367,72488,1,87,0,0
551,16935,78708,6,1,0,0
612,27898,76769,3,19,1,1
289,91749,15211,1,46,1,0
254,64987,32412,6,67,1,1
734,19577,24261,0,2,0,1
357,17366,67413,3,56,0,1
23,86428,50474,8,17,1,0
762,86088,24114,3,92,1,1
522,43626,80408,2,82,0,0
758,11989,46489,9,97,0,1
837,24435,18261,9,79,1,1
100,11354,7590,1,22,0,0
802,86710,24602,2,27,1,0
180,11542,35857,0,55,1,1
223,46389,41211,9,32,0,0
906,53847,98373,7,60,1,0
762,37427,83345,0,83,1,1
659,16299,58745,2,28,1,1
442,72927,59155,2,28,1,0
608,212,9098,1,74,1,1
769,87151,29006,4,84,1,1
325,19681,70292,9,25,1,1
516,59822,50577,2,85,0,0
16,92136,37001,2,78,0,0
792,97662,91371,7,86,1,0
336,16623,52121,3,26,0,1
759,67060,29192,3,75,1,0
258,19652,1342,2,71,1,1
497,10908,1931,0,17,0,1
988,72625,50821,7,82,1,1
896,23720,28611,0,7,1,1
160,987,72882,6,56,0,0
475,31902,97103,4,64,0,1
852,85124,18402,3,20,0,1
664,95649,55668,3,38,0,0
908,82038,3332,7,75,0,1
690,86841,51607,5,58,0,0
675,26149,76608,0,16,1,0
380,77889,10783,9,51,0,0
545,84626,23764,7,27,0,1
929,7946,33272,1,51,1,0
957,90663,83741,5,75,1,1
691,46320,64440,8,16,0,0
427,46263,87336,0,87,1,0
613,3865,11117,5,60,1,0
268,81586,36713,7,76,1,0
835,45370,86230,9,40,1,1
577,75377,77020,1,67,1,1
417,88378,30448,4,2,1,0
168,90339,16548,5,48,1,0
842,23031,9591,4,52,0,0
43,89216,78748,2,24,1,1
556,55733,96657,3,93,0,0
285,80802,58859,6,98,1,0
397,52013,44653,3,84,1,1
12,94876,1068,8,82,0,0
607,26091,468,9,78,1,0
302,54945,74060,1,82,1,0
898,98605,35110,4,2,0,0
253,55412,54254,7,65,1,1
499,10661,35951,4,20,1,1
754,17001,25596,9,34,0,1
35,95656,31036,7,41,0,0
727,62975,78958,7,41,1,0
849,26017,67105,8,75,0,1
90,62220,37593,9,91,1,0
776,2088,69895,5,23,1,0
605,14356,36490,3,38,0,1
922,87828,10392,2,44,0,1
970,28330,92477,4,67,0,0
602,59878,28465,5,62,0,1
418,45933,17307,2,12,1,0
115,22725,23012,1,30,0,1
617,32188,80871,6,95,0,1
903,79750,56672,4,87,1,0
196,41267,99183,8,65,1,0
826,71391,19376,2,41,1,1
501,65403,97559,7,20,1,0
626,76461,5634,5,6,1,0
493,88329,92105,3,75,1,0
75,4217,35770,8,99,1,1
413,90365,62247,4,4,1,0
376,97818,98199,9,93,1,0
420,60810,36586,5,10,0,1
729,94526,65657,8,51,0,1
277,94976,34368,6,93,1,1
761,67154,81435,4,38,0,1
676,31049,26436,1,1,1,0
394,22647,3741,3,8,1,0
869,81982,87232,1,81,1,1
457,68236,33059,2,83,1,1
920,64719,13406,9,63,0,0
192,61942,46282,2,33,0,0
739,94903,74223,3,15,1,1
689,27090,56426,5,31,0,0
99,16293,96995,2,21,0,0
548,30209,21598,9,3,1,1
978,19333,70298,0,66,1,1
999,81830,27297,0,35,0,1
96,34610,20819,8,41,0,1
664,1406,90301,8,59,1,0
663,3949,25132,4,16,1,1
190,12460,59724,8,56,0,0
736,94867,78277,6,45,1,0
37,45900,42064,8,59,1,0
780,37063,30128,6,50,1,1
369,54430,54746,8,85,0,0
695,51807,81287,1,12,0,1
525,18789,8636,7,92,1,1
279,29184,56847,6,12,0,1
217,40487,45812,5,33,1,0
867,74916,6373,4,84,0,1
873,2742,71920,3,49,0,1
798,42237,91328,6,21,0,0
273,79932,74453,2,60,1,1
881,55661,94591,7,52,1,0
62,62360,92191,1,54,1,0
596,15538,86014,0,39,0,1
880,48542,50930,1,49,1,1
729,3094,17227,8,64,1,1
342,99675,83588,4,86,1,1
397,1913,11639,7,26,1,0
699,93127,46861,2,71,0,1
19,84481,46319,6,7,1,1
177,55376,14792,1,72,1,0
612,41343,83756,7,62,0,1
396,63012,13434,6,90,1,1
445,60372,28715,4,88,0,1
233,42151,8003,3,24,0,1
915,78954,28627,0,40,0,1
76,82836,15729,4,76,1,0
265,65718,58108,8,47,0,1
455,2020,83376,9,8,0,0
796,77319,99418,3,54,0,0
718,76972,26808,8,9,1,0
735,81232,10960,1,3,0,0
384,2193,17538,3,54,0,1
564,13005,67400,8,21,0,1
851,24451,71645,3,95,1,0
506,31081,20942,4,48,0,1
367,74003,60313,7,47,0,1
144,70921,42472,0,88,1,0
885,82389,99071,0,68,1,1
69,84121,69006,8,84,1,0
99,78613,38844,8,63,0,0
396,19974,57542,3,16,0,1
25,51031,86090,1,74,0,1
948,7774,3750,8,90,0,1
891,50616,45217,3,93,1,0
469,94674,91344,5,5,0,0
484,60786,52872,0,11,1,1
565,94951,3290,8,29,0,0
151,69312,48213,4,79,0,1
144,2526,8889,2,70,0,1
569,90109,32225,3,48,1,1
39,68598,98795,0,15,1,1
109,30043,17559,8,84,1,0
693,66495,35518,7,34,1,1
42,44916,47185,3,60,0,0
186,4238,18868,1,62,0,0
935,91276,50061,8,2,0,0
398,76045,81199,3,80,0,0
223,4117,27985,8,19,0,0
634,10551,87521,9,98,1,0
133,63056,61182,2,49,1,1
163,93963,6995,6,78,0,0
215,10378,50411,6,88,0,1
733,90580,89594,9,28,0,0
235,43864,67167,3,48,0,1
843,1234,71117,1,96,1,1
658,63043,24032,8,37,0,0
751,95767,21460,3,74,0,1
588,54418,54947,7,49,0,1
9,60228,90465,1,48,0,0
74,88156,85568,7,73,1,0
954,21969,39031,9,88,0,0
492,5139,55923,4,29,1,0
913,21381,38132,6,60,1,0
253,10542,81526,6,29,0,0
230,73888,18907,8,58,0,0
519,27686,11867,2,48,0,0
174,53153,8171,9,23,0,1
653,50589,53513,3,27,0,0
168,83204,26249,9,95,1,1
170,86446,15640,3,7,1,0
393,67187,70348,9,49,1,0
946,12725,91837,4,54,1,0
795,34497,85535,5,68,1,0
634,58771,19887,2,78,0,1
194,91885,21082,3,42,0,1
517,66997,22706,2,74,1,0
29,26249,10250,1,59,0,1
165,60130,86029,9,44,0,0
422,70006,47036,8,98,1,1
339,5383,93386,0,26,1,0
648,7710,8693,1,23,1,1
496,43426,17458,7,73,0,1
365,15024,82243,6,8,1,1
833,76262,37481,0,53,1,0
342,969,90447,4,14,0,1
500,97188,28174,9,71,0,0
657,1114,20695,5,7,1,1
511,10203,44294,4,9,0,0
327,82622,49477,3,3,1,0
217,96107,26953,0,78,0,0
301,33558,73819,6,17,1,1
132,90705,20761,8,44,0,1
804,82509,50593,5,86,0,0
70,23348,36595,2,46,0,0
